Timestamp,Company_Code,Closing price,total_trade_qty
2018-02-18,AARVEEDEN,50.85,69063
2018-02-19,AARVEEDEN,50.75,14506
2018-02-20,AARVEEDEN,49.1,19474
2018-02-21,AARVEEDEN,47.85,15891
2018-02-22,AARVEEDEN,47.15,30736
2018-02-23,AARVEEDEN,45.1,14834
2018-02-24,AARVEEDEN,43.85,23288
2018-02-25,AARVEEDEN,44.95,20306
2018-02-26,AARVEEDEN,44.25,25311
2018-02-27,AARVEEDEN,45.9,14914
2018-02-28,AARVEEDEN,46.3,15903
2018-03-01,AARVEEDEN,46.75,19872
2018-03-02,AARVEEDEN,45.9,17163
2018-03-03,AARVEEDEN,44.25,8811
2018-03-04,AARVEEDEN,43.7,12578
2018-03-05,AARVEEDEN,43.95,5028
2018-03-06,AARVEEDEN,42.95,8499
2018-02-01,ABAN,206.6,1413772
2018-02-02,ABAN,193.2,1782035
2018-02-03,ABAN,191.1,1212397
2018-02-04,ABAN,180.3,1218331
2018-02-05,ABAN,188.25,2100166
2018-02-06,ABAN,188.85,1259854
2018-02-07,ABAN,186.95,868446
2018-02-08,ABAN,190.15,2183620
2018-02-09,ABAN,180.95,1431901
2018-02-10,ABAN,177.35,1345508
2018-02-11,ABAN,173.7,1039243
2018-02-12,ABAN,170.35,974747
2018-02-13,ABAN,171.35,781699
2018-02-14,ABAN,168.75,623932
2018-02-15,ABAN,168.3,731306
2018-02-16,ABAN,173,1272941
2018-02-17,ABAN,174.45,757008
2018-02-18,ABAN,173.8,831923
2018-02-19,ABAN,170.5,571412
2018-02-20,ABAN,169.6,540101
2018-02-21,ABAN,166.75,454177
2018-02-22,ABAN,164.45,626726
2018-02-23,ABAN,158.95,597879
2018-02-24,ABAN,156.6,633495
2018-02-25,ABAN,156.7,661761
2018-02-26,ABAN,157.55,453256
2018-02-27,ABAN,163.3,1695575
2018-02-28,ABAN,164.1,899524
2018-03-01,ABAN,165.2,665942
2018-03-02,ABAN,162.25,465390
2018-03-03,ABAN,158.7,450477
2018-03-04,ABAN,157.7,575261
2018-03-05,ABAN,161.25,961955
2018-03-06,ABAN,164.55,2457108
2018-02-01,ABB,1700.45,200484
2018-02-02,ABB,1678.55,147057
2018-02-03,ABB,1627.85,94627
2018-02-04,ABB,1618.65,44842
2018-02-05,ABB,1578.5,45375
2018-02-06,ABB,1594.85,104852
2018-02-07,ABB,1590.8,152775
2018-02-08,ABB,1610.65,36442
2018-02-09,ABB,1572.1,43054
2018-02-10,ABB,1550.5,34965
2018-02-11,ABB,1514.65,50718
2018-02-12,ABB,1487.35,29427
2018-02-13,ABB,1509.3,46224
2018-02-14,ABB,1511.4,35217
2018-02-15,ABB,1516.25,32347
2018-02-16,ABB,1523.25,34475
2018-02-17,ABB,1518.1,63273
2018-02-18,ABB,1528.35,41198
2018-02-19,ABB,1531.75,118705
2018-02-20,ABB,1525.15,74109
2018-02-21,ABB,1490.5,38820
2018-02-22,ABB,1475.45,72789
2018-02-23,ABB,1435.55,69131
2018-02-24,ABB,1425.75,24570
2018-02-25,ABB,1437.7,157434
2018-02-26,ABB,1433.6,16143
2018-02-27,ABB,1410.8,38286
2018-02-28,ABB,1390.25,49362
2018-03-01,ABB,1373.1,55919
2018-03-02,ABB,1336.8,101855
2018-03-03,ABB,1317.3,53198
2018-03-04,ABB,1304.7,116191
2018-03-05,ABB,1297,49317
2018-03-06,ABB,1289.8,55053
2018-02-01,ABBOTINDIA,5554.5,4145
2018-02-02,ABBOTINDIA,5534.95,2491
2018-02-03,ABBOTINDIA,5394.3,4108
2018-02-04,ABBOTINDIA,5250.75,3827
2018-02-05,ABBOTINDIA,5355.15,2606
2018-02-06,ABBOTINDIA,5463.25,1650
2018-02-07,ABBOTINDIA,5604.55,3393
2018-02-08,ABBOTINDIA,5886.25,14611
2018-02-09,ABBOTINDIA,5739.15,14699
2018-02-10,ABBOTINDIA,5652.6,3722
2018-02-11,ABBOTINDIA,5518.15,15235
2018-02-12,ABBOTINDIA,5686.15,5863
2018-02-13,ABBOTINDIA,5611.35,1823
2018-02-14,ABBOTINDIA,5640.3,4550
2018-02-15,ABBOTINDIA,5754.4,5612
2018-02-16,ABBOTINDIA,5811.3,2505
2018-02-17,ABBOTINDIA,5799.55,1997
2018-02-18,ABBOTINDIA,5857,1211
2018-02-19,ABBOTINDIA,5743.1,2040
2018-02-20,ABBOTINDIA,5744.25,1954
2018-02-21,ABBOTINDIA,5737.2,2338
2018-02-22,ABBOTINDIA,5712.1,54038
2018-02-23,ABBOTINDIA,5739.35,3074
2018-02-24,ABBOTINDIA,5619.2,1994
2018-02-25,ABBOTINDIA,5616.9,586
2018-02-26,ABBOTINDIA,5651.45,1685
2018-02-27,ABBOTINDIA,5611.3,2163
2018-02-28,ABBOTINDIA,5593.15,3285
2018-03-01,ABBOTINDIA,5560.3,1867
2018-03-02,ABBOTINDIA,5518.2,2503
2018-03-03,ABBOTINDIA,5454.1,1979
2018-03-04,ABBOTINDIA,5446.5,1358
2018-03-05,ABBOTINDIA,5449.55,3485
2018-03-06,ABBOTINDIA,5405.6,2294
2018-02-01,ABGSHIP,12.05,20923
2018-02-02,ABGSHIP,11.65,17367
2018-02-03,ABGSHIP,11.2,20467
2018-02-04,ABGSHIP,11.35,23165
2018-02-05,ABGSHIP,11.5,11857
2018-02-06,ABGSHIP,11.4,5132
2018-02-07,ABGSHIP,11.35,4783
2018-02-08,ABGSHIP,11.65,9901
2018-02-09,ABGSHIP,11.1,32436
2018-02-10,ABGSHIP,11,19585
2018-02-11,ABGSHIP,11.2,20505
2018-02-12,ABGSHIP,11.55,28921
2018-02-13,ABGSHIP,11.35,26842
2018-02-14,ABGSHIP,10.8,50553
2018-02-15,ABGSHIP,10.75,8167
2018-02-16,ABGSHIP,10.8,6767
2018-02-17,ABGSHIP,11.25,16529
2018-02-18,ABGSHIP,10.85,30240
2018-02-19,ABGSHIP,10.55,12932
2018-02-20,ABGSHIP,10.6,7116
2018-02-21,ABGSHIP,10.1,36620
2018-02-22,ABGSHIP,10,27416
2018-02-23,ABGSHIP,9.5,17122
2018-02-24,ABGSHIP,9.05,24422
2018-02-25,ABGSHIP,9.45,224786
2018-02-26,ABGSHIP,9.25,12735
2018-02-27,ABGSHIP,9.35,22355
2018-02-28,ABGSHIP,9.05,32375
2018-03-01,ABGSHIP,9.2,14301
2018-03-02,ABGSHIP,9,7574
2018-03-03,ABGSHIP,8.95,19692
2018-03-04,ABGSHIP,9,9150
2018-03-05,ABGSHIP,9,34584
2018-03-06,ABGSHIP,8.65,16804
2018-02-01,ACC,1737,300979
2018-02-02,ACC,1679.8,262985
2018-02-03,ACC,1641.15,486961
2018-02-04,ACC,1618.95,375432
2018-02-05,ACC,1587.4,286280
2018-02-06,ACC,1693.25,1516076
2018-02-07,ACC,1660.95,478965
2018-02-08,ACC,1651.55,252902
2018-02-09,ACC,1629.7,206639
2018-02-10,ACC,1621.3,543661
2018-02-11,ACC,1650.6,523625
2018-02-12,ACC,1633.7,259386
2018-02-13,ACC,1640.35,247989
2018-02-14,ACC,1645.25,322498
2018-02-15,ACC,1632.35,413249
2018-02-16,ACC,1651.45,301333
2018-02-17,ACC,1661.05,137471
2018-02-18,ACC,1632.8,333670
2018-02-19,ACC,1623.05,208350
2018-02-20,ACC,1633.8,128434
2018-02-21,ACC,1606.15,190051
2018-02-22,ACC,1595.3,238297
2018-02-23,ACC,1575.2,221080
2018-02-24,ACC,1544.95,296149
2018-02-25,ACC,1531.85,289181
2018-02-26,ACC,1559.9,270932
2018-02-27,ACC,1575.35,441704
2018-02-28,ACC,1612,296145
2018-03-01,ACC,1603.15,227343
2018-03-02,ACC,1567.95,253481
2018-03-03,ACC,1562.9,195095
2018-03-04,ACC,1554.8,339628
2018-03-05,ACC,1558.4,216483
2018-03-06,ACC,1549.4,319159
2018-02-01,ACE,176.4,1423109
2018-02-02,ACE,158.85,1370503
2018-02-03,ACE,159,1026498
2018-02-04,ACE,150.15,1064418
2018-02-05,ACE,158.45,993024
2018-02-06,ACE,168.5,1104570
2018-02-07,ACE,167.85,1176548
2018-02-08,ACE,174.9,961050
2018-02-09,ACE,191.2,4724392
2018-02-10,ACE,181.05,2203701
2018-02-11,ACE,184.4,1384373
2018-02-12,ACE,180.6,839759
2018-02-13,ACE,177.85,727700
2018-02-14,ACE,180.15,513957
2018-02-15,ACE,179.8,625143
2018-02-16,ACE,182.35,581213
2018-02-17,ACE,188.6,986983
2018-02-18,ACE,191.25,1482383
2018-02-19,ACE,188,822931
2018-02-20,ACE,186.5,585040
2018-02-21,ACE,180.95,526797
2018-02-22,ACE,173.25,571781
2018-02-23,ACE,168.15,757122
2018-02-24,ACE,172.85,510267
2018-02-25,ACE,170.65,375226
2018-02-26,ACE,173.3,299477
2018-02-27,ACE,181.5,870618
2018-02-28,ACE,177.65,537660
2018-03-01,ACE,175.6,746039
2018-03-02,ACE,182.4,2117380
2018-03-03,ACE,174.3,656312
2018-03-04,ACE,171.65,660163
2018-03-05,ACE,170.55,559494
2018-03-06,ACE,168.4,505922
2018-02-01,ADANIENT,214,4905671
2018-02-02,ADANIENT,197.2,6946208
2018-02-03,ADANIENT,199.45,6443758
2018-02-04,ADANIENT,195.3,5920376
2018-02-05,ADANIENT,196.75,3982586
2018-02-06,ADANIENT,204.5,4439467
2018-02-07,ADANIENT,210.1,6060617
2018-02-08,ADANIENT,217.25,7269216
2018-02-09,ADANIENT,219.45,6915464
2018-02-10,ADANIENT,214.75,4974761
2018-02-11,ADANIENT,207.8,5458989
2018-02-12,ADANIENT,202.9,4869612
2018-02-13,ADANIENT,198,6326486
2018-02-14,ADANIENT,197.4,4152954
2018-02-15,ADANIENT,203.3,8957045
2018-02-16,ADANIENT,204.35,5007111
2018-02-17,ADANIENT,205.6,2916864
2018-02-18,ADANIENT,207.05,5990667
2018-02-19,ADANIENT,203.55,3876913
2018-02-20,ADANIENT,199.15,3600007
2018-02-21,ADANIENT,200.9,3891702
2018-02-22,ADANIENT,186.2,8063223
2018-02-23,ADANIENT,172.2,21742279
2018-02-24,ADANIENT,168.95,19371103
2018-02-25,ADANIENT,156.1,17088755
2018-02-26,ADANIENT,162.25,20088994
2018-02-27,ADANIENT,159.75,15160439
2018-02-28,ADANIENT,163.75,13334956
2018-03-01,ADANIENT,167.05,13195532
2018-03-02,ADANIENT,160.5,12405008
2018-03-03,ADANIENT,160.6,11657832
2018-03-04,ADANIENT,160.95,9395255
2018-03-05,ADANIENT,162.2,7748642
2018-03-06,ADANIENT,159.45,6171698
2018-02-01,ADANIPOWER,36.75,10904549
2018-02-02,ADANIPOWER,32.7,17433690
2018-02-03,ADANIPOWER,32.7,15384812
2018-02-04,ADANIPOWER,31.6,15347398
2018-02-05,ADANIPOWER,32,11468909
2018-02-06,ADANIPOWER,32.8,9392734
2018-02-07,ADANIPOWER,33.8,13839094
2018-02-08,ADANIPOWER,34,8726014
2018-02-09,ADANIPOWER,33.35,9307687
2018-02-10,ADANIPOWER,33.1,5912780
2018-02-11,ADANIPOWER,32.35,6906543
2018-02-12,ADANIPOWER,31.4,9838366
2018-02-13,ADANIPOWER,31.35,6551504
2018-02-14,ADANIPOWER,31.35,6096399
2018-02-15,ADANIPOWER,31.05,12516530
2018-02-16,ADANIPOWER,32.15,7417257
2018-02-17,ADANIPOWER,32.75,8042171
2018-02-18,ADANIPOWER,32.05,7106014
2018-02-19,ADANIPOWER,31.65,5683910
2018-02-20,ADANIPOWER,31.35,5109574
2018-02-21,ADANIPOWER,30.85,6671043
2018-02-22,ADANIPOWER,29.5,7922751
2018-02-23,ADANIPOWER,27.4,15597411
2018-02-24,ADANIPOWER,26.1,27179786
2018-02-25,ADANIPOWER,25.45,15513863
2018-02-26,ADANIPOWER,26.35,9979106
2018-02-27,ADANIPOWER,26.7,11166266
2018-02-28,ADANIPOWER,27.3,10792061
2018-03-01,ADANIPOWER,28.1,14966688
2018-03-02,ADANIPOWER,27.3,14419571
2018-03-03,ADANIPOWER,26.1,13720511
2018-03-04,ADANIPOWER,25.8,11160757
2018-03-05,ADANIPOWER,25.65,7578090
2018-03-06,ADANIPOWER,25.15,7410150
2018-02-01,ADFFOODS,270.7,233237
2018-02-02,ADFFOODS,257.35,157486
2018-02-03,ADFFOODS,258.8,169082
2018-02-04,ADFFOODS,240.05,272158
2018-02-05,ADFFOODS,243.5,113504
2018-02-06,ADFFOODS,252.7,212645
2018-02-07,ADFFOODS,253.6,140403
2018-02-08,ADFFOODS,251.25,383968
2018-02-09,ADFFOODS,247,388991
2018-02-10,ADFFOODS,267.95,1260276
2018-02-11,ADFFOODS,250.8,355250
2018-02-12,ADFFOODS,253.9,184150
2018-02-13,ADFFOODS,248.35,139691
2018-02-14,ADFFOODS,251.2,254790
2018-02-15,ADFFOODS,244.1,162278
2018-02-16,ADFFOODS,244.9,148516
2018-02-17,ADFFOODS,243.8,215330
2018-02-18,ADFFOODS,247.75,270924
2018-02-19,ADFFOODS,243.35,147531
2018-02-20,ADFFOODS,242.25,73190
2018-02-21,ADFFOODS,238.7,107020
2018-02-22,ADFFOODS,230.75,117715
2018-02-23,ADFFOODS,225.75,356755
2018-02-24,ADFFOODS,220.95,131051
2018-02-25,ADFFOODS,221.45,298481
2018-02-26,ADFFOODS,224.3,192841
2018-02-27,ADFFOODS,225.1,205391
2018-02-28,ADFFOODS,224.15,103570
2018-03-01,ADFFOODS,224.45,97332
2018-03-02,ADFFOODS,221.3,121517
2018-03-03,ADFFOODS,211.25,111656
2018-03-04,ADFFOODS,211.6,108835
2018-03-05,ADFFOODS,213.4,73038
2018-03-06,ADFFOODS,212.35,119014
2018-02-01,ADHUNIK,5.45,46411
2018-02-02,ADHUNIK,5.2,52785
2018-02-03,ADHUNIK,4.95,71671
2018-02-04,ADHUNIK,4.75,41227
2018-02-05,ADHUNIK,4.95,83664
2018-02-06,ADHUNIK,5.15,75002
2018-02-07,ADHUNIK,5,150617
2018-02-08,ADHUNIK,5.05,52845
2018-02-09,ADHUNIK,5.25,69033
2018-02-10,ADHUNIK,5,42328
2018-02-11,ADHUNIK,4.75,57382
2018-02-12,ADHUNIK,4.75,49053
2018-02-13,ADHUNIK,4.8,24783
2018-02-14,ADHUNIK,4.65,24828
2018-02-15,ADHUNIK,4.65,122836
2018-02-16,ADHUNIK,4.75,86224
2018-02-17,ADHUNIK,4.95,27202
2018-02-18,ADHUNIK,4.8,26313
2018-02-19,ADHUNIK,4.75,43698
2018-02-20,ADHUNIK,4.7,18987
2018-02-21,ADHUNIK,4.6,76004
2018-02-22,ADHUNIK,4.5,42424
2018-02-23,ADHUNIK,4.3,43517
2018-02-24,ADHUNIK,4.25,36217
2018-02-25,ADHUNIK,4.05,56351
2018-02-26,ADHUNIK,4.1,58776
2018-02-27,ADHUNIK,4.05,276607
2018-02-28,ADHUNIK,4.05,56217
2018-03-01,ADHUNIK,4.1,50521
2018-03-02,ADHUNIK,4.05,68753
2018-03-03,ADHUNIK,4,36490
2018-03-04,ADHUNIK,3.9,42220
2018-03-05,ADHUNIK,3.8,73794
2018-03-06,ADHUNIK,3.95,232611
2018-02-01,ADORWELD,497.4,16978
2018-02-02,ADORWELD,456.75,38268
2018-02-03,ADORWELD,433.8,25209
2018-02-04,ADORWELD,413.05,33923
2018-02-05,ADORWELD,416.3,41975
2018-02-06,ADORWELD,439.45,47951
2018-02-07,ADORWELD,437.6,22246
2018-02-08,ADORWELD,443.45,19846
2018-02-09,ADORWELD,439.1,10319
2018-02-10,ADORWELD,445.4,26626
2018-02-11,ADORWELD,436,8568
2018-02-12,ADORWELD,429.35,25437
2018-02-13,ADORWELD,437.3,14312
2018-02-14,ADORWELD,429.65,8327
2018-02-15,ADORWELD,426.05,13409
2018-02-16,ADORWELD,427.8,12316
2018-02-17,ADORWELD,432.3,17982
2018-02-18,ADORWELD,434.8,21871
2018-02-19,ADORWELD,431.7,15645
2018-02-20,ADORWELD,430.25,8146
2018-02-21,ADORWELD,421.1,11985
2018-02-22,ADORWELD,411.8,4156
2018-02-23,ADORWELD,397.2,19718
2018-02-24,ADORWELD,386.75,23700
2018-02-25,ADORWELD,398.15,71042
2018-02-26,ADORWELD,398.1,10452
2018-02-27,ADORWELD,401.9,13521
2018-02-28,ADORWELD,399.65,9703
2018-03-01,ADORWELD,422.75,147642
2018-03-02,ADORWELD,414.5,151729
2018-03-03,ADORWELD,407.2,74033
2018-03-04,ADORWELD,395.85,21573
2018-03-05,ADORWELD,394.5,16688
2018-03-06,ADORWELD,385.15,13560
2018-02-01,ADSL,22.7,11947
2018-02-02,ADSL,21.6,21547
2018-02-03,ADSL,21.25,19060
2018-02-04,ADSL,20.85,41679
2018-02-05,ADSL,21.85,8292
2018-02-06,ADSL,22.9,13667
2018-02-07,ADSL,24,31281
2018-02-08,ADSL,25.05,101259
2018-02-09,ADSL,26.3,148240
2018-02-10,ADSL,25.2,156466
2018-02-11,ADSL,24.5,128228
2018-02-12,ADSL,24.05,35929
2018-02-13,ADSL,25.05,38948
2018-02-14,ADSL,25,46666
2018-02-15,ADSL,24.7,4541
2018-02-16,ADSL,24.55,33841
2018-02-17,ADSL,24.3,6393
2018-02-18,ADSL,24.4,25424
2018-02-19,ADSL,24.25,8146
2018-02-20,ADSL,24.15,22491
2018-02-21,ADSL,23.75,15109
2018-02-22,ADSL,23.7,11736
2018-02-23,ADSL,22.85,49274
2018-02-24,ADSL,21.9,42169
2018-02-25,ADSL,22.3,10682
2018-02-26,ADSL,21.55,98607
2018-02-27,ADSL,21.35,32968
2018-02-28,ADSL,21.05,10098
2018-03-01,ADSL,21.9,28775
2018-03-02,ADSL,21.6,62243
2018-03-03,ADSL,21,18082
2018-03-04,ADSL,20.15,28469
2018-03-05,ADSL,19.8,72486
2018-03-06,ADSL,19.7,74827
2018-02-01,ADVANIHOTR,72.5,9976
2018-02-02,ADVANIHOTR,68.35,70583
2018-02-03,ADVANIHOTR,66.75,20279
2018-02-04,ADVANIHOTR,65.05,35091
2018-02-05,ADVANIHOTR,65.25,9995
2018-02-06,ADVANIHOTR,69.2,23806
2018-02-07,ADVANIHOTR,71,21720
2018-02-08,ADVANIHOTR,71.4,9792
2018-02-09,ADVANIHOTR,69.75,42787
2018-02-10,ADVANIHOTR,67.75,30997
2018-02-11,ADVANIHOTR,64.45,47382
2018-02-12,ADVANIHOTR,62.55,24927
2018-02-13,ADVANIHOTR,61.4,16081
2018-02-14,ADVANIHOTR,60.7,35539
2018-02-15,ADVANIHOTR,60.95,8609
2018-02-16,ADVANIHOTR,63.45,9846
2018-02-17,ADVANIHOTR,63.35,6994
2018-02-18,ADVANIHOTR,64.9,11014
2018-02-19,ADVANIHOTR,64.3,10748
2018-02-20,ADVANIHOTR,64.95,37222
2018-02-21,ADVANIHOTR,62.65,13424
2018-02-22,ADVANIHOTR,60,23516
2018-02-23,ADVANIHOTR,58.05,14161
2018-02-24,ADVANIHOTR,57.5,17339
2018-02-25,ADVANIHOTR,57.75,9273
2018-02-26,ADVANIHOTR,59.3,13767
2018-02-27,ADVANIHOTR,60,11808
2018-02-28,ADVANIHOTR,59.95,12753
2018-03-01,ADVANIHOTR,60.15,12927
2018-03-02,ADVANIHOTR,60,1908
2018-03-03,ADVANIHOTR,57.7,5827
2018-03-04,ADVANIHOTR,58.05,8100
2018-03-05,ADVANIHOTR,58.5,4722
2018-03-06,ADVANIHOTR,57.25,6432
